subject,DU time o,DU time r,DU time a,DU time n,DU time g,DU time shift,DU time E,DU time 2,DU time 0,DU time 1,DU time 9,DU time shift,DU time !,UD time o,UD time r,UD time a,UD time n,UD time g,UD time shift,UD time E,UD time 2,UD time 0,UD time 1,UD time 9,UD time shift,UD time !,3GRAM1,3GRAM2,3GRAM3,3GRAM4,3GRAM5,3GRAM6,3GRAM7,3GRAM8,3GRAM9,TOTAL TIME
sub66,0.099,0.078,0.109,0.093,0.078,0.656,0.141,0.109,0.078,0.062,0.11,0.471,0.125,0.399,0.219,0.235,0.282,0.266,0.141,0.563,0.375,0.313,0.391,0.234,0.125,1.232,1.094,1.594,1.375,1.672,1.781,1.766,1.438,1.612,1.268,5.22
sub67,0.188,0.203,0.172,0.172,0.156,0.556,0.165,0.141,0.141,0.117,0.141,0.687,0.14,0.422,0.172,0.25,0.25,0.187,0.165,0.422,0.156,0.234,0.843,0.282,0.14,1.579,1.375,1.665,1.321,1.462,1.416,1.454,1.773,2.32,2.07,5.892
sub68,0.094,0.094,0.094,0.094,0.094,0.234,0.125,0.094,0.094,0.109,0.094,0.25,0.141,0.547,0.375,0.062,0.203,0.297,0.094,0.422,0.234,0.11,0.031,0.58,0.109,1.36,1.016,1.078,0.953,1.172,1.109,1.188,0.704,1.206,1.034,4.207
sub68,0.078,0.078,0.109,0.094,0.094,0.171,0.094,0.109,0.078,0.107,0.078,0.249,0.125,0.332,0.063,0.156,0.203,0.172,0.031,0.266,0.188,0.016,0.031,0.282,0.109,0.91,0.797,0.999,0.797,0.875,0.875,0.858,0.607,0.841,0.763,3.033
sub69,0.078,0.094,0.109,0.063,0.062,0.172,0.125,0.125,0.078,0.125,0.11,0.344,0.11,0.109,0.422,0.016,0.312,0.407,0.032,0.876,0.015,0.157,0.093,0.75,0.11,0.891,1.078,1.141,1.109,1.735,1.359,1.501,0.703,1.626,1.422,4.61
sub69,0.093,0.094,0.094,0.093,0.078,0.235,0.172,0.125,0.079,0.125,0.079,0.343,0.156,0.047,0.438,0.078,0.251,0.265,0.11,0.485,0.032,0.125,0.015,0.953,0.156,0.937,1.126,1.094,0.984,1.25,0.954,1.079,0.516,1.704,1.515,4.125
sub71,0.062,0.063,0.063,0.063,0.062,0.297,0.062,0.063,0.079,0.062,0.062,0.25,0.078,0.344,0.312,0.203,0.328,0.469,0.062,0.359,0.14,0.094,0.063,0.344,0.078,1.11,1.094,1.422,1.219,1.25,0.938,0.922,0.563,0.891,0.781,3.782
sub72,0.078,0.094,0.093,0.078,0.078,0.548,0.126,0.094,0.078,0.093,0.078,0.625,0.109,0.532,0.422,0.454,0.734,0.547,0.126,0.515,0.266,0.344,0.741,0.798,0.109,1.751,1.953,2.485,1.985,1.782,1.501,1.563,1.694,2.741,2.335,7.29
sub73,0.047,0.031,0.078,0.046,0.047,0.532,0.063,0.093,0.078,0.094,0.047,0.281,0.031,0.422,0.469,0.297,0.547,0.297,0.063,0.5,0.063,0.062,0.082,0.406,0.031,1.39,1.515,1.844,1.469,1.469,1.266,0.953,0.519,1.019,0.91,4.519
sub73,0.032,0.047,0.047,0.047,0.031,0.391,0.078,0.109,0.078,0.11,0.047,0.344,0.063,0.469,0.203,0.312,0.5,0.328,0.078,0.532,0.078,0.078,0.062,0.484,0.063,1.157,1.187,1.625,1.297,1.391,1.188,1.094,0.562,1.172,1.047,4.329
sub74,0.093,0.062,0.063,0.11,0.078,0.344,0.063,0.078,0.094,0.062,0.063,0.422,0.063,0.11,0.453,0.109,0.203,0.625,0.063,0.297,0.187,0.219,0.188,0.75,0.063,1,1.078,1.501,1.36,1.422,1,1.031,0.891,1.751,1.485,4.61
sub74,0.062,0.068,0.094,0.078,0.032,0.219,0.078,0.093,0.093,0.063,0.063,0.266,0.093,0.079,0.297,0.047,0.203,0.39,0.078,0.188,0.204,0.172,0.115,0.312,0.093,0.725,0.819,1.063,0.922,0.922,0.797,0.891,0.803,1.068,0.819,3.138
sub75,0.14,0.157,0.143,0.172,0.162,0.656,0.078,0.156,0.15,0.144,0.142,0.454,0.063,0.519,0.547,0.422,0.719,0.282,0.078,0.344,0.437,0.484,0.612,0.203,0.063,2.1,2.322,2.54,1.991,1.6,1.743,1.809,2.125,2.095,1.555,7.045
sub76,0.218,0.203,0.172,0.187,0.188,0.484,0.187,0.187,0.172,0.156,0.187,0.703,0.25,1.237,1.125,0.625,0.36,0.359,0.093,0.344,0.438,0.453,0.438,0.313,0.25,3.767,2.86,2.375,1.672,1.656,1.719,1.937,2.031,2.391,1.797,8.643
